goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/Cluster/Get-parall(1)-key(16)-val(1024)-10       	  100000	       167.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(1024)-10       	  100000	       168.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(1024)-10       	  100000	       168.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(1024)-10       	  100000	       169.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(1024)-10       	  100000	       165.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(1024)-10       	  100000	       166.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(1024)-10       	  100000	       166.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(1024)-10       	  100000	       166.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(1024)-10       	  100000	       172.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       159.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       161.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       163.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       160.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       163.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       163.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       159.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       153.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       148.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       154.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       158.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       162.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       160.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       162.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       159.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       162.2 ns/op	       0 B/op	       0 allocs/op
