goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      5466 ns/op	     257 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      5544 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      5412 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      5454 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      5460 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      5823 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      6844 ns/op	     257 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      5505 ns/op	     257 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      5528 ns/op	     257 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(64)-10         	  100000	      5450 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	      5599 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	      5464 ns/op	     257 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	      6107 ns/op	     257 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	      5344 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	      5752 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	      5534 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	      6103 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	      6082 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	      5767 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	      5511 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(1024)-10       	  100000	      5622 ns/op	     257 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(1024)-10       	  100000	      5910 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(1024)-10       	  100000	      5825 ns/op	     256 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(1024)-10       	  100000	      5667 ns/op	     256 B/op	       9 allocs/op
