goos: darwin
goarch: arm64
pkg: rueidis-benchmark
cpu: Apple M1 Pro
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       178.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(1)-key(16)-val(256)-10        	  100000	       172.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       168.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       170.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       169.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       167.8 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       166.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       174.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       173.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       172.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       173.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(64)-10         	  100000	       171.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       169.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       168.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       166.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       173.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       168.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       167.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       174.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       166.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       168.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       173.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       170.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       173.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       171.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       169.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       166.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       168.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       178.6 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       173.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       170.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       171.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       172.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       170.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       173.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       169.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       173.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       178.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       169.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       175.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       177.3 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       171.0 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	rueidis-benchmark	2.605s
