goos: darwin
goarch: arm64
pkg: rueidis-benchmark
cpu: Apple M1 Pro
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     11155 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     11184 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     11156 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     11145 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     11189 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     11059 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     11208 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     11247 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(1)-key(16)-val(256)-10        	  100000	     11173 ns/op	     273 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      8421 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      8394 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      8512 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      8481 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      8519 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      8625 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      8579 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      8490 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      8430 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(64)-10         	  100000	      8401 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      8632 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      8749 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      8571 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      8711 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      8709 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      8617 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      8571 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      8690 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      8658 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(8)-key(16)-val(256)-10        	  100000	      8705 ns/op	     278 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      8399 ns/op	     281 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      8685 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      8536 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      8490 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      8432 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      8497 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      8451 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      8451 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      8505 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(64)-10        	  100000	      8535 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      8587 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      8707 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      8647 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      8821 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      8678 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      8601 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      8630 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      8754 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      8631 ns/op	     280 B/op	       9 allocs/op
Benchmark/Cluster/Set-parall(64)-key(16)-val(256)-10       	  100000	      8701 ns/op	     280 B/op	       9 allocs/op
PASS
ok  	rueidis-benchmark	111.495s
